18, 3, 20
17,19,0
3,17,-4
-10,13,-11
3,3,15
17,-11,20
9,-15,11
8,2,1
-11,17,10
-19,9,9
19,-4,-14
19,19,-17
17,-3,15
-3,18,-13
2,-1,7
-8,-11,14
14,-6,-16
-17,16,-9
12,-4,16
20,-5,19
12,-14,-10
16,0,11
16,15,7
-12,1,13
-5,4,4
2,-1,14
12,-8,-7
4,20,2
-18,-9,-4
4,19,-14
-10,-19,-5
-15,-12,3
-4,1,3
8,9,18
3,-10,-13
-18,16,5
-16,-17,-9
-3,11,7
-10,6,-18
13,-13,4
1,5,16
-15,-11,3
9,10,1
17,-20,7
10,-4,-4
9,-7,-16
-1,7,-19
16,-19,-13
-10,-9,-12
8,-20,19
0,-14,12
19,3,-19
14,14,2
0,-2,2
-2,5,15
-2,-10,-8
6,12,7
-13,-2,-6
-20,15,-13
19,-11,5
-14,13,-6
3,-20,3
17,13,13
-17,-2,17
14,6,-20
-16,-8,-6
-3,-16,-8
19,8,2
-2,0,-18
1,-5,-15
-18,15,5
14,0,3
4,-7,-12
-6,16,17
18,-7,0
13,11,-7
10,15,-13
-17,8,7
-13,-11,-3
